#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.160424	-15.891604	200.487045	33.062599	58.547680	0.718842
0.144805	-16.074036	202.169464	33.370945	64.303871	0.742621
0.157129	-15.984390	226.477280	32.844685	57.908127	0.707105
0.156678	-15.812332	204.904739	32.937668	62.177666	0.722502
0.157076	-15.847046	209.209335	33.370586	57.663807	0.710604
0.153143	-16.015865	211.672623	33.427139	65.871124	0.687665
0.153143	-16.015865	211.672623	33.427139	65.871124	0.687665
0.161947	-16.126331	201.753616	33.879349	54.386982	0.660147
0.159800	-15.825216	222.580261	32.764168	61.419178	0.690295
0.155748	-16.076571	202.600433	33.226860	61.602367	0.691372
0.158038	-16.128595	209.195084	33.072735	56.469776	0.662733
0.147056	-15.991396	225.353210	33.282143	65.495186	0.693355
0.145812	-16.196566	218.670212	32.868740	63.637604	0.720529
0.145249	-15.810509	227.102646	33.184090	62.761539	0.748390
0.148831	-16.190273	240.172455	33.177116	65.493309	0.741928
0.155443	-15.992906	204.533264	32.418324	58.095901	0.706227
0.158956	-15.880854	220.382950	32.522636	57.335083	0.681884
0.160858	-15.891405	213.226715	33.144382	59.364979	0.697362
0.148009	-16.098442	227.511337	33.342361	67.770538	0.743479
0.167002	-15.867579	209.198227	33.626888	55.061283	0.681995
0.145382	-15.986493	228.553268	32.656311	63.231640	0.703592
0.146933	-16.018433	219.572693	33.186131	67.143967	0.695410
0.147424	-16.160620	234.604965	32.706367	62.594372	0.737372
0.146733	-16.123022	221.583130	32.431732	61.906452	0.708521
0.161620	-16.162128	213.402939	33.973648	63.583302	0.706280
0.148573	-15.999888	223.243530	32.889301	61.064312	0.734338
0.141427	-15.908751	227.606201	31.343136	58.413540	0.702396
0.151968	-15.975530	206.417480	33.420124	64.920197	0.691894
0.145557	-16.061577	226.579819	33.374809	60.827461	0.693868
0.151579	-15.953225	223.615341	32.976879	57.217670	0.696809
0.144043	-15.989783	213.368942	33.272865	64.236992	0.730050
0.154761	-15.883574	230.305832	33.958702	60.971924	0.722088
0.160923	-15.970354	226.626465	33.072071	61.627289	0.707781
0.156612	-16.011986	202.186646	32.775002	54.241566	0.658263
0.153706	-16.079525	235.928711	32.941074	62.498833	0.733012
0.148502	-16.161926	224.469727	32.637070	60.206470	0.703797
0.149496	-16.124744	209.419983	33.774174	66.269562	0.718816
0.164173	-16.160103	201.181671	33.648178	57.740681	0.697237
0.143320	-16.164932	211.797424	32.138699	58.408691	0.705913
0.154485	-16.153587	216.690521	33.577446	60.935265	0.704117
0.153187	-16.159975	236.202637	33.001099	62.215431	0.730569
0.167775	-15.938347	214.158539	32.491409	56.398804	0.675205
0.142557	-15.951928	203.184021	32.470257	61.946980	0.739905
0.148866	-16.129757	233.537476	33.894356	64.653221	0.708961
0.163854	-15.961346	206.084290	33.440216	60.228489	0.666189
0.153795	-16.070271	231.323151	33.696796	65.505096	0.715315
0.161612	-16.037888	218.538971	33.983585	56.144787	0.679569
0.159980	-16.167149	217.336212	33.150539	57.845936	0.699976
0.165053	-15.944826	223.688446	33.507271	56.118652	0.694772
0.155405	-16.008392	213.699936	32.497402	57.804710	0.704700
0.167765	-16.108259	211.862869	33.208889	59.835995	0.669524
0.157699	-16.078260	207.394058	32.779789	58.488876	0.679845
0.166249	-15.857833	206.398392	32.374378	55.901855	0.661113
0.160242	-15.840042	202.805649	33.790955	66.110123	0.674100
0.151725	-15.917903	222.149536	33.602940	67.214371	0.720011
0.142843	-16.029261	219.414719	32.569595	60.319324	0.702912
0.147038	-15.893860	224.296158	33.450932	68.610657	0.711985
0.146395	-15.884188	215.449707	33.281853	65.211388	0.741975
0.167343	-16.190779	220.874359	33.731533	62.466251	0.678538
0.163690	-15.857012	211.973785	33.469261	57.061497	0.688072
0.160967	-15.855089	209.113205	33.702965	63.803391	0.663440
0.169194	-15.875066	209.096344	33.144657	54.468456	0.666705
0.165331	-15.911114	207.486343	33.069447	58.894234	0.697345
0.144430	-15.968344	212.970764	32.238773	58.905064	0.700645
0.162702	-16.077562	214.497025	32.262482	55.024460	0.661869
0.161737	-16.166889	204.338882	33.951508	64.305191	0.700903
0.160170	-16.082193	217.953873	33.201164	60.437542	0.670484
0.150731	-15.898593	202.310745	32.956715	61.222927	0.705602
0.153038	-16.090340	210.823975	33.697830	60.772396	0.704970
0.150893	-16.028345	228.758255	33.881626	63.740227	0.733696
0.162726	-16.000311	203.579254	33.260223	59.953270	0.696903
0.163607	-15.886591	219.726898	32.836281	60.055767	0.702477
0.153394	-15.824366	226.128021	33.772858	67.349266	0.721918
0.144792	-15.961107	204.085922	33.418941	63.203964	0.727781
0.160091	-16.170586	220.519547	33.279354	58.505260	0.714062
0.159126	-15.956814	213.952850	32.218903	57.220970	0.700493
0.157520	-15.807557	225.610107	33.552666	60.608143	0.716700
0.159192	-16.012032	200.057602	33.772625	62.444851	0.656315
0.166375	-15.825849	211.151627	32.120949	57.281334	0.669488
0.157216	-16.099731	207.951065	33.460960	56.042141	0.677467
0.153386	-16.149315	217.642426	33.890755	65.431084	0.733396
0.161682	-15.891164	207.896667	32.286133	57.036366	0.688945
0.142172	-16.028183	200.919281	33.102844	59.938938	0.721704
0.157153	-16.183294	220.204056	33.904987	60.703014	0.696090
0.159212	-16.137098	212.736633	32.913704	55.657494	0.672659
0.158661	-15.835546	226.518555	33.497910	63.230110	0.725130
0.142431	-16.149916	205.403305	33.062496	65.598640	0.714806
0.159638	-16.174189	230.261215	33.481060	60.086914	0.701656
0.151201	-16.053047	223.901962	32.694790	62.874474	0.683681
0.157053	-15.924029	212.987625	33.711777	59.557163	0.669701
0.152258	-15.821236	225.478424	33.767403	67.047363	0.734768
0.146039	-16.064222	226.274796	33.451321	66.672783	0.693529
0.144485	-16.180668	235.374573	33.006832	64.077614	0.736697
0.160793	-16.057026	208.169739	32.914364	59.012962	0.716887
0.154193	-16.113436	211.831604	33.947819	57.070961	0.697879
0.144815	-15.868461	223.511810	32.154087	59.623993	0.698445
0.151683	-16.189165	215.198959	33.454575	59.662430	0.696009
0.151615	-15.823340	225.594299	32.229462	61.033997	0.725602
0.153129	-16.008451	231.224106	33.671684	63.468620	0.726394
0.151325	-15.966278	215.689438	33.391861	60.816738	0.723935
0.161703	-16.180218	224.704468	33.868717	58.996971	0.698947
0.165570	-15.815356	208.448334	33.753437	64.614983	0.708730
0.155998	-15.817019	222.393082	33.204685	62.939045	0.727358
0.158158	-16.099236	211.477188	32.952583	60.380306	0.679979
0.162867	-16.159672	222.375427	33.695301	55.998146	0.677603
0.160558	-16.192633	228.070557	33.637863	61.785984	0.717466
0.140382	-15.938821	232.286377	31.879425	62.819527	0.747242
0.168459	-16.074259	225.301636	33.979660	59.698174	0.687913
0.167050	-15.874056	207.078934	33.481373	56.905899	0.707524
0.142904	-15.971667	207.376114	32.997288	58.028881	0.703694
0.150351	-16.084797	202.196762	32.493187	58.821838	0.713871
0.169918	-16.046038	206.692352	33.684563	56.947605	0.701780
0.144651	-16.164671	201.252335	33.080082	61.634357	0.741852
0.156160	-16.152700	203.047714	33.905365	66.636505	0.672154
0.166635	-16.043079	222.143555	33.402973	61.124435	0.694527
0.146384	-16.095984	220.696915	33.379673	68.055534	0.705961
0.165327	-15.825974	211.604630	33.757576	61.984512	0.675808
0.166347	-16.168291	210.377518	33.720310	57.285854	0.677777
0.149141	-16.112705	210.294479	33.797459	63.332405	0.728868
0.163474	-16.176250	226.824127	32.887047	59.240643	0.707626
0.145473	-15.997034	219.280594	33.348042	57.816448	0.696734
0.149707	-16.081217	207.247543	33.711208	61.553101	0.734587
0.152562	-15.873973	220.668518	33.876892	60.879169	0.691747
0.145591	-15.801805	213.744766	32.736416	58.035236	0.703060
0.167253	-15.808640	213.825577	32.183399	55.233189	0.682250
0.142393	-16.036613	207.246841	32.205452	59.997574	0.723159
0.166783	-15.806776	200.686844	32.860912	56.631168	0.662964
0.149775	-16.121605	209.184784	33.910789	64.563957	0.724835
0.150469	-16.115765	204.301941	33.315262	62.896633	0.730888
0.145081	-15.883179	207.824417	32.724808	59.735649	0.717799
0.147055	-16.180857	224.222488	33.630077	61.997784	0.713251
0.140750	-16.154379	235.963562	32.229923	62.785530	0.727386
0.144567	-15.903352	227.591019	32.225098	62.440720	0.728679
0.154339	-15.806841	215.019897	32.019051	57.828152	0.692864
0.147758	-16.151871	220.295959	33.603081	61.705044	0.720214
0.146768	-15.841798	227.318207	33.552322	64.306969	0.724028
0.155147	-15.960194	205.882294	31.986116	57.765274	0.659099
0.157895	-15.998280	214.788971	32.269470	55.362122	0.667164
0.151718	-15.972777	205.995636	32.654938	57.245537	0.709249
0.153143	-16.015865	211.672623	33.427139	65.871124	0.687665
