#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.153133	-15.987792	297.263977	30.738527	53.567963	0.686602
0.165124	-16.198559	228.436676	31.949316	52.969883	0.586260
0.163924	-15.872751	232.246536	32.986671	59.462456	0.725001
0.150528	-15.806416	243.481857	31.779026	49.568787	0.666327
0.151537	-15.853888	276.046478	32.013954	52.925461	0.714122
0.145091	-15.955400	290.025940	30.971609	49.703033	0.722342
0.152612	-15.878395	240.093430	31.869452	48.685322	0.696638
0.169611	-15.880494	249.002441	33.054520	53.224365	0.699084
0.148653	-16.031439	295.821411	28.918015	40.549553	0.737127
0.165399	-16.148085	269.745850	30.288067	47.472492	0.674514
0.164193	-16.057322	235.149246	30.829721	47.103928	0.630222
0.164471	-16.102736	276.745056	32.043427	57.509624	0.680873
0.159497	-16.066372	296.347382	33.552380	64.604034	0.659083
0.164037	-16.089647	202.242004	30.902023	47.722820	0.633596
0.151391	-15.871592	220.183884	30.995907	48.019180	0.733096
0.142437	-16.062483	246.112305	31.553812	57.381363	0.713610
0.156160	-16.066433	246.508392	33.765526	64.930756	0.742804
0.157009	-16.019068	277.798889	33.392719	61.933983	0.640157
0.145420	-15.917876	235.849655	29.510298	45.356285	0.688686
0.168861	-16.008512	298.828766	33.365093	63.862148	0.642262
0.156125	-16.036528	279.248260	31.520735	47.491253	0.692767
0.169498	-16.095989	278.536407	33.845882	57.746441	0.663487
0.160757	-16.149193	204.754044	33.057739	58.221752	0.653308
0.157996	-16.111475	206.715973	29.794201	40.931107	0.691620
0.149823	-15.821012	283.805359	29.254644	44.567780	0.702213
0.168073	-16.031237	297.005981	31.487810	55.301514	0.637196
0.160737	-15.805310	253.765274	32.803047	55.651306	0.661058
0.145646	-16.199810	242.178314	33.614502	65.928596	0.741264
0.148132	-16.054892	207.288956	31.247360	51.963039	0.696557
0.152735	-16.085793	276.957397	32.411087	52.561600	0.702417
0.148870	-15.944557	266.193451	30.495773	41.787052	0.735948
0.168313	-16.137905	284.254364	31.496035	54.872051	0.686317
0.162393	-15.884205	277.952057	30.960670	47.126476	0.668304
0.148113	-16.067226	261.958313	29.926947	44.011448	0.725336
0.166216	-16.174122	293.664246	32.575985	48.644096	0.694924
0.164128	-15.907210	281.096954	33.024563	56.267536	0.661940
0.161919	-16.159319	278.169678	33.754219	51.114281	0.735628
0.146007	-16.006546	252.166046	28.670841	43.349319	0.670734
0.146426	-15.939730	205.374405	33.425484	66.052681	0.643792
0.157053	-15.912320	264.511444	33.963528	56.441704	0.676312
0.164862	-15.914551	260.333527	30.581614	40.082935	0.717572
0.166756	-16.095671	210.083023	33.732296	57.291935	0.612597
0.165884	-16.038687	262.033691	33.846859	61.663448	0.651022
0.166525	-15.806624	288.841370	31.081337	41.576275	0.728575
0.158599	-15.896132	231.454346	32.288345	43.095768	0.733801
0.143284	-15.899244	281.593872	32.496243	55.858109	0.727958
0.167516	-16.074818	216.676361	33.982914	65.480682	0.581627
0.150786	-15.998522	295.205200	30.983303	43.659424	0.733555
0.158471	-16.087042	244.573151	33.307323	61.454147	0.675162
0.155239	-15.895923	287.784149	29.665369	40.791729	0.714384
0.159391	-16.052015	265.787872	30.452017	43.967728	0.723757
0.164749	-15.917048	270.290771	33.776337	62.249111	0.662949
0.145717	-15.979505	271.224915	31.199244	49.160271	0.691259
0.167369	-15.818990	268.211456	31.568905	51.083607	0.637299
0.154651	-16.163958	275.377777	31.969088	50.352505	0.637757
0.161658	-16.026569	225.939240	33.967548	55.946609	0.626805
0.146454	-16.143902	243.119110	30.690903	45.496956	0.667219
0.161409	-16.065752	250.799240	32.955883	49.501602	0.699407
0.167077	-16.185040	207.444031	32.485603	53.183968	0.598267
0.149749	-15.951667	298.395660	31.865419	56.993214	0.731139
0.154781	-16.045017	291.498871	33.013580	63.104294	0.654346
0.158582	-16.138016	296.395508	29.381050	42.242176	0.689139
0.165756	-16.031685	298.665741	33.773346	59.824585	0.672625
0.156923	-16.076508	207.254425	31.717672	45.328430	0.645932
0.152443	-15.872571	211.651154	32.670345	49.010929	0.677949
0.159287	-16.053614	211.390564	31.499775	54.400646	0.658620
0.166571	-15.995608	254.107452	32.919228	46.923374	0.728124
0.153932	-16.152782	265.379913	32.911980	52.398491	0.725568
0.156772	-16.131836	259.106720	33.726879	58.327343	0.636476
0.150356	-15.967663	291.096161	32.367573	49.032845	0.696961
0.147584	-15.925643	295.929047	28.655630	41.028969	0.729610
0.143006	-15.953111	271.932251	28.581675	42.658676	0.740729
0.151342	-16.173615	218.765854	32.665691	57.424980	0.679501
0.165308	-15.960769	230.768188	32.959034	49.895645	0.722128
0.165729	-15.810458	269.431244	31.999369	51.101196	0.705324
0.141017	-16.153128	268.183197	31.392538	47.842999	0.707558
0.159788	-15.899663	273.869354	29.269421	40.087383	0.723798
0.147562	-16.013783	297.059662	32.469425	64.057800	0.743881
0.140060	-15.957219	275.201385	32.293846	58.892143	0.722669
0.151277	-16.042837	292.896698	32.057129	52.227982	0.713994
0.159112	-15.958519	295.325104	30.817432	44.521179	0.688375
0.154476	-16.085941	267.380920	32.128963	59.422401	0.643912
0.150430	-16.103716	250.423050	33.245213	63.913982	0.666100
0.157673	-16.062159	228.295609	32.358276	55.858944	0.742382
0.158782	-15.879475	299.576965	33.433357	56.452961	0.688549
0.148839	-15.917012	243.524490	33.687447	54.783863	0.746796
0.168032	-16.125084	202.014206	31.005247	49.747391	0.632343
0.155904	-16.061533	273.756958	31.841906	61.409149	0.658855
0.162178	-15.860549	271.213287	30.709375	42.101013	0.664484
0.161282	-15.957073	290.657288	32.511406	64.869598	0.707000
0.147121	-16.037233	200.141998	32.722294	56.084774	0.648443
0.160506	-16.063099	266.831146	32.972439	63.197582	0.626857
0.158178	-15.806660	298.459747	30.976717	49.720074	0.680585
0.153691	-16.019802	236.351288	30.845461	44.995884	0.663018
